acousticness;danceability;energy;valence;tempo;loudness;speechiness;instrumentalness;track_popularity;is_hit
918;298;201;4,37E+15;78774;-19044;481;9;0;0
159;6,81E+15;375;475;101113;-10855;332;0;620;1
72;387;123;738;92243;-20792;333;901;;0
8,74E+15;47;291;178;126367;-14383;281;476;;0
8,27E+15;596;266;125;94989;-9219;247;506;;0
702;484;74;482;90999;-6596;309;341;;0
115;527;942;495;1,48723E+16;-564;366;0;780;1
6,71E+15;98;413;764;119993;-11052;1,01E+15;79500000000;740;1
423;569;807;472;1,80004E+16;-13499;541;884;;0
646;5,59E+15;784;619;170377;-3604;344;0;60;0
0,000881;452;7,61E+15;195;119996;-12032;719;8,42E+15;;0
176;667;778;644;8,9487E+15;-2762;182;0;;0
188;8,27E+15;913;446;123263;-12399;787;8;;0
107;8,06E+15;904;96;127985;-5495;399;0,00371;;0
358;421;634;652;114113;-5995;347;0,000796;;0
755;617;439;667;174075;-9427;246;0;;0
373;8,24E+15;5,49E+15;434;153812;-39;226;0;620;1
1,37E+15;539;865;314;121299;-468;458;0,00364;;0
985;421;521;114;114418;-13593;407;765;0;0
694;54;931;6,51E+15;1239;-6,002E+15;44;109;;0
949;486;2,19E+15;303;96778;-14328;351;11;;0
8,34E+15;8,22E+15;332;8,34E+15;110802;-1,1369E+16;506;0;610;1
